Provider,Service,Pricing_Component,Unit,Base_Rate_USD,Notes,Free_Tier_Amount,Free_Tier_Value_USD
AWS,Fargate,vCPU Compute,per vCPU-second,$0.00000899,US East region; $26.39/month if always running,N/A,$0
AWS,Fargate,Memory,per GB-second,$0.00000099,US East region; $2.93/month per GB if always running,N/A,$0
AWS,Fargate,Ephemeral Storage,per GB-second,$0.00000031,First 20GB free; $0.90/month per GB additional,20 GB,$0
AWS,EKS,Cluster Management,per hour,$0.10,~$72/month base; Standard support first 14 months,N/A,$0
AWS,EKS,Extended Support,per hour,$0.60,After 14 months from K8s release,N/A,$0
AWS,ECS,Cluster Management,per month,$0,"No additional fee for ECS control plane; pay only for Fargate compute","N/A",$0
AWS,Elastic Load Balancing,Application Load Balancer Hourly,per hour,$0.0225,+ LCU capacity charges and data processing,750 hours/month (new),$165
AWS,Elastic Load Balancing,Data Processing,per GB,$0.008-$0.012,Varies by type; major cost driver,N/A,$0
AWS,CloudWatch,Logs Ingestion,per GB,$0.50,Beyond 5GB free per month,5 GB,$2.50
AWS,CloudWatch,Logs Storage,per GB-month,$0.03,Charged monthly for retention,N/A,$0
AWS,CloudWatch,Metrics,per metric-month,$0.30,After first 10000 free metrics,10000,$0
AWS,CloudWatch,Alarms,per alarm-metric-month,$0.10,After 10 free alarms per account,10,$0
AWS,Data Egress,Internet Egress,per GB,$0.09-$0.085,US region tiered pricing,100 GB/month,$9
Google Cloud,Cloud Run,vCPU Compute,per vCPU-second,$0.000024,Tier 1 regions; $70.36/month if always running,180000 vCPU-sec,$4.32
Google Cloud,Cloud Run,Memory,per GiB-second,$0.0000025,Tier 1 regions; $7.33/month per GB if always running,360000 GiB-sec,$0.90
Google Cloud,Cloud Run,Requests,per million,$0.40,Beyond 2M free per month,2000000 requests,$0.80
Google Cloud,GKE,Cluster Management,per hour,$0.10,All clusters; ~$72/month base; $74.40/month free tier credit,N/A,$74.40
Google Cloud,GKE,Enterprise Tier,per vCPU-hour,$0.00822,Adds to base cluster fee,N/A,$0
Google Cloud,Cloud Load Balancer,Hourly Rate,per hour,$0.025,Global HTTP(S) LB; ~$180/month base,N/A,$0
Google Cloud,Cloud Load Balancer,Data Processing,per GB,$0.008-$0.012,Major cost driver; 10TB = $1000+,N/A,$0
Google Cloud,Cloud Monitoring,Metrics Ingestion,per MiB,$0.2580,Beyond 150 MiB free per month,150 MiB/month,$0
Google Cloud,Cloud Monitoring,Prometheus Metrics,per million samples,$0.06,Managed Service for Prometheus,N/A,$0
Google Cloud,Cloud Logging,Logs Ingestion,per GiB,$0.50,50 GiB/month free per project,50 GiB/month,$25
Google Cloud,Cloud Logging,Logs Storage,per GiB-month,$0.01,After free 30-day retention,N/A,$0
Google Cloud,Data Egress,Internet Egress,per GB,$0.12-$0.08,Tier 1 (US): $0.12/GB first TB; Tier 2: $0.12-0.08 tiered,"N/A",$0
Azure,Container Apps,vCPU Allocation,per vCPU-second,"$0.000011-0.000015",Consumption plan; varies by region,180000 vCPU-sec,$1.80-2.25
Azure,Container Apps,Memory Allocation,per GiB-second,"$0.00000015",Consumption plan; varies by region,360000 GiB-sec,$0.05-0.10
Azure,Container Apps,HTTP Requests,per million,$0.40,Beyond 2M free per month,2000000 requests,$0.80
Azure,AKS,Free Tier,per cluster,$0,Development/testing; no SLA,N/A,$0
Azure,AKS,Standard Tier,per hour,$0.10,Production; 99.95% uptime SLA; ~$72/month,N/A,$0
Azure,AKS,Premium Tier,per hour,$0.60,Enhanced reliability; long-term support; ~$432/month,N/A,$0
Azure,Container Instances,vCPU Allocation,per vCPU-second,"$0.000011-0.000015",Varies by region; contact Azure calculator,N/A,$0
Azure,Container Instances,Memory Allocation,per GB-second,"$0.00000015",Varies by region,N/A,$0
Azure,Load Balancer,Standard LB Hourly,per hour,$0.32,Basic load balancing; ~$234/month,N/A,$0
Azure,Load Balancer,Data Processing,per rule,Variable,Rule-based pricing model,N/A,$0
Azure,Monitor,Analytics Logs,per GB,$2.99+,Full analytics; 31-day retention; varies by commitment tier,N/A,$0
Azure,Monitor,Basic Logs,per GB,Lower,8-day retention; searchable,N/A,$0
Azure,Monitor,Auxiliary Logs,per GB,Lower,Non-critical logs,N/A,$0
Azure,Data Egress,Internet Egress,per GB,$0.087-$0.083,Up to 10TB: $0.087; 10-40TB: $0.083,100 GB/month,$8.70
DigitalOcean,Kubernetes,Worker Node (basic),per month,$12,Smallest droplet-based node; variable workload,N/A,$0
DigitalOcean,Kubernetes,Worker Node (8GB),per month,$63,General purpose; most common size,N/A,$0
DigitalOcean,Kubernetes,HA Control Plane,per month,$40,High availability for control plane,N/A,$0
DigitalOcean,App Platform,Basic Tier,per month,$0,Up to 3 static apps/websites,N/A,$0
DigitalOcean,App Platform,Professional Tier,per month,$12,Dynamic apps; small deployment,N/A,$0
DigitalOcean,App Platform,Shared Tier (2GB),per month,$25,Shared infrastructure; medium apps,N/A,$0
DigitalOcean,Load Balancer,Load Balancer,per month,$10,Basic load balancing; data processing included,N/A,$0
DigitalOcean,Data Egress,Bandwidth Overage,per GB,$0.01,2000+ GiB/month included with nodes; billed for overage,2000 GiB/month,$0
DigitalOcean,Container Registry,Storage,per month,$0,Free up to 500MiB; $5 per 100GB thereafter,500 MiB,$0
