Department,Use Case Name,Step Count,Steps,Apps
Department,Use Case Name,Step Count,Steps,Apps

Sales,Multi-Channel Prospect Enrichment,8,"1 Capture lead; 2 Enrich via Clearbit; 3 Score ICP fit; 4 Assign territory; 5 Push to CRM; 6 Notify rep; 7 Auto-send first touch; 8 Track engagement","HubSpot, Salesforce, Clearbit, Slack, Apollo"
Sales,Proposal Generation From Discovery Call,9,"1 Transcribe call; 2 Extract needs; 3 Map SKUs; 4 Build proposal; 5 Add ROI; 6 Personalize; 7 Review; 8 Send; 9 Track opens","Gong, Salesforce CPQ, PandaDoc"
Sales,Sales Forecast Accuracy Checker,7,"1 Pull opps; 2 Compare forecast; 3 Analyze sentiment; 4 Check activities; 5 Flag risks; 6 Recommend updates; 7 Notify manager","Salesforce, Gong, Slack"
Sales,Automated Follow-Up Orchestrator,7,"1 Detect stalled deals; 2 Generate email; 3 Insert content; 4 Add CRM tasks; 5 Update sequence; 6 Remind rep; 7 Track engagement","HubSpot, Apollo, Gmail, Slack"
Sales,Competitor Response Generator,8,"1 Detect competitor; 2 Find gaps; 3 Build battlecard; 4 Suggest price; 5 Add proof; 6 Generate reply; 7 Save intel; 8 Notify team","Gong, Notion, Salesforce"
Sales,Account Multi-Threading Agent,8,"1 Identify stakeholders; 2 Enrich contacts; 3 Map org; 4 Assign personas; 5 Generate scripts; 6 Update sequences; 7 Sync CRM; 8 Notify rep","ZoomInfo, Apollo, Salesforce"
Sales,Renewal Risk Predictor,7,"1 Pull renewals; 2 Check usage; 3 Check tickets; 4 Score risk; 5 Recommend actions; 6 Build email; 7 Notify AE","Salesforce, Zendesk, Mixpanel"
Sales,Automated Demo Prep Agent,8,"1 Pull account data; 2 Review comms; 3 Identify pains; 4 Build script; 5 Create slides; 6 Add proof; 7 Deliver prep; 8 Add to calendar","Google Slides, Salesforce"
Sales,Lead-to-Meeting Conversion Engine,8,"1 Detect lead; 2 Enrich; 3 Auto-send CTA; 4 Track intent; 5 Escalate high intent; 6 Prep brief; 7 Update CRM; 8 Train model","Calendly, HubSpot, Clearbit"
Sales,Territory Planning Agent,7,"1 Pull regions; 2 Map accounts; 3 Identify gaps; 4 Recommend outreach; 5 Build call list; 6 Update CRM; 7 Deliver report","Salesforce, ZoomInfo"
Sales,Lost Deal Analyzer,7,"1 Analyze transcripts; 2 Find objections; 3 Track competitor mentions; 4 Score causes; 5 Suggest updates; 6 Report summary; 7 Update docs","Gong, Notion"
Sales,Opportunity Health Tracker,7,"1 Pull deals; 2 Score health; 3 Detect missing steps; 4 Recommend actions; 5 Auto-fill tasks; 6 Alert rep; 7 Summarize weekly","Salesforce"
Sales,Cold Email Personalizer,4,"1 Pull prospect; 2 Analyze profile; 3 Build email; 4 Drop into sequence","Apollo, LinkedIn"
Sales,Outbound Lead List Cleaner,3,"1 Remove junk; 2 Deduplicate; 3 Re-enrich","ZoomInfo, Apollo"
Sales,Annual Account Planning,5,"1 Pull revenue; 2 Review history; 3 Find expansion; 4 Build plan; 5 Push to CRM","Salesforce"
Sales,Lead Qualification Agent,4,"1 Review form; 2 Score; 3 Assign rep; 4 Trigger email","HubSpot"
Sales,Meeting Prep Brief Generator,3,"1 Pull account; 2 Summarize; 3 Deliver brief","Salesforce"
Sales,Post-Demo Action Planner,5,"1 Analyze recording; 2 Find pains; 3 Recommend follow-up; 4 Draft email; 5 Add tasks","Gong, HubSpot"
Sales,Case Study Recommender,3,"1 Detect industry; 2 Match case study; 3 Insert into message","Notion"
Sales,Objection Handler,4,"1 Detect objection; 2 Pull snippet; 3 Personalize; 4 Prep response","Salesforce"
Sales,Proposal Reminder Workflow,3,"1 Track opens; 2 Auto-remind; 3 Alert rep","PandaDoc"
Sales,Contract Summary Agent,4,"1 Analyze redlines; 2 Extract risks; 3 Suggest edits; 4 Summarize","DocuSign"
Sales,Contact Normalization,3,"1 Dedupe; 2 Standardize; 3 Sync CRM","HubSpot"
Sales,Next Step Enforcer,4,"1 Scan opps; 2 Detect missing step; 3 Create task; 4 Notify rep","Salesforce"
Sales,Persona Mapping Agent,3,"1 Identify persona; 2 Tag CRM; 3 Adjust messaging","ZoomInfo"
Sales,Sales Email Rewrite Agent,3,"1 Parse draft; 2 Improve tone; 3 Reinsert personalization","Gmail"
Sales,Deal Desk Assistant,4,"1 Analyze pricing; 2 Detect discount issues; 3 Calculate target; 4 Recommend approval path","Salesforce CPQ"
Sales,Pipeline Summary Digest,4,"1 Aggregate activity; 2 Highlight risks; 3 Recommend actions; 4 Deliver Slack digest","Slack"
Sales,Rep Performance Analyzer,5,"1 Pull activity; 2 Compare goals; 3 Identify gaps; 4 Recommend coaching; 5 Email report","Salesforce"
Sales,Sales Playbook Generator,4,"1 Identify scenario; 2 Fetch best practices; 3 Build playbook; 4 Share","Notion"

Marketing,Campaign Idea Generator,7,"1 Identify ICP; 2 Analyze trends; 3 Check goals; 4 Generate themes; 5 Build messages; 6 Select channels; 7 Output brief","Google Trends, HubSpot"
Marketing,Audience Segmentation Agent,8,"1 Pull contacts; 2 Analyze behavior; 3 Cluster segments; 4 Tag CRM; 5 Build personas; 6 Suggest content; 7 Create lists; 8 Sync","HubSpot, Segment"
Marketing,SEO Content Planner,7,"1 Analyze keywords; 2 Review competitors; 3 Identify gaps; 4 Suggest articles; 5 Prioritize; 6 Build briefs; 7 Publish queue","Ahrefs, SEMRush"
Marketing,Social Calendar Builder,7,"1 Gather events; 2 Analyze trends; 3 Generate posts; 4 Schedule; 5 Insert hashtags; 6 Add visuals; 7 Publish","Buffer"
Marketing,Ad Performance Analyzer,7,"1 Pull metrics; 2 Compare creatives; 3 Spot winners; 4 Detect fatigue; 5 Optimize bids; 6 Recommend tests; 7 Report","Google Ads, Meta Ads"
Marketing,Email Campaign Generator,8,"1 Identify audience; 2 Build message; 3 Add CTAs; 4 Personalize; 5 A/B tests; 6 Load into system; 7 Schedule; 8 Track results","HubSpot"
Marketing,Event Marketing Workflow,7,"1 Build list; 2 Create invites; 3 Send reminders; 4 Track RSVPs; 5 Follow-up; 6 Add leads to CRM; 7 Report","Zoom, HubSpot"
Marketing,PR Monitoring Agent,7,"1 Track mentions; 2 Analyze sentiment; 3 Identify journalists; 4 Draft pitches; 5 Send to PR lead; 6 Log coverage; 7 Report","Meltwater"
Marketing,Landing Page Optimizer,8,"1 Analyze page; 2 Evaluate heatmap; 3 Detect drop-offs; 4 Suggest copy; 5 Recommend layout; 6 Build variation; 7 Launch test; 8 Track","Hotjar"
