Department,AI Role Name,Core Purpose,Key Responsibilities,Example Workflows Fit
Sales,AI SDR Copilot,"Augment SDRs with research, targeting and personalized outreach.","Enrich inbound and outbound leads with firmographic and technographic data; Score and prioritize leads based on ICP and intent; Generate personalized cold emails and sequences; Auto-schedule and track follow-ups; Surface best-case messaging based on historical performance.","Multi-Channel Prospect Enrichment; Cold Email Personalizer; Outbound Lead List Cleaner; Lead Qualification Agent; Lead-to-Meeting Conversion Engine"
Sales,AI Account Intelligence Analyst,"Provide deep account-level insight and context before and during sales cycles.","Aggregate account data from CRM, email, calls, and external sources; Detect buying group and map stakeholders; Summarize account history and key initiatives; Identify expansion and multi-threading opportunities; Maintain account health snapshots for reps and managers.","Account Multi-Threading Agent; Territory Planning Agent; Annual Account Planning; Opportunity Health Tracker; Lost Deal Analyzer"
Sales,AI Forecast & Pipeline Copilot,"Continuously monitor, challenge and improve pipeline and forecast quality.","Pull and analyze opportunities and forecast submissions; Detect stalled or sandbagged deals; Score deal health using activity and sentiment; Recommend forecast adjustments by rep/segment; Produce digestible pipeline and forecast summaries for leadership.","Sales Forecast Accuracy Checker; Opportunity Health Tracker; Pipeline Summary Digest; Rep Performance Analyzer; Next Step Enforcer"
Sales,AI Proposal & Deal Desk Engineer,"Accelerate and standardize pricing, proposals, and approvals.","Translate discovery data into structured requirements; Map needs to SKUs and pricing rules; Draft proposals and order forms; Evaluate discounting against guardrails; Propose approval paths and justify pricing using ROI models.","Proposal Generation From Discovery Call; Deal Desk Assistant; Proposal Reminder Workflow; Contract Summary Agent; Sales Playbook Generator"
Sales,AI Meeting & Demo Assistant,"Prepare reps for meetings and ensure strong follow-through.","Generate pre-meeting briefs from CRM and past interactions; Propose demo narratives and scripts; Create tailored decks and collateral; Summarize meetings with clear next steps; Schedule and track post-meeting actions.","Automated Demo Prep Agent; Meeting Prep Brief Generator; Post-Demo Action Planner; Case Study Recommender; Objection Handler"

Marketing,AI Campaign Strategist,"Design high-level multi-channel campaigns informed by data and ICP.","Analyze ICP, funnel metrics, and market trends; Propose campaign themes and offers; Allocate channels and budget recommendations; Define audience segments and success metrics; Generate campaign briefs for execution.","Campaign Idea Generator; Audience Segmentation Agent; Ad Budget Planner; Marketing KPI Dashboard Agent; Brand Audit Checklist Builder"
Marketing,AI Content & SEO Planner,"Own topic, keyword, and content roadmap generation.","Perform keyword and competitive content research; Identify gaps and content opportunities; Generate article, video, and webinar briefs; Suggest internal and external linking strategies; Maintain prioritized content pipeline.","SEO Content Planner; Keyword Expansion Agent; Competitor Keyword Agent; Content Repurposing Agent; Site Audit Agent"
Marketing,AI Lifecycle & Email Specialist,"Design and maintain automated lifecycle, newsletter and nurture flows.","Define lifecycle stages and trigger events; Generate segmented email sequences; Optimize subject lines and CTAs; Coordinate webinar and event email journeys; Monitor performance and recommend experiments.","Email Campaign Generator; Newsletter Builder; Webinar Workflow Agent; Email Subject Line Optimizer; Marketing Qualified Lead Checker"
Marketing,AI Social & Community Manager,"Plan, create, and schedule social and community content.","Generate social posts aligned with campaigns; Propose hashtags and formats per channel; Build and maintain social calendars; Repurpose content into shorts, carousels, and threads; Monitor performance and summarize insights.","Social Calendar Builder; Organic Social Post Generator; Hashtag Recommender; Content Repurposing Agent; Influence Research Agent"
Marketing,AI Performance & Insights Analyst,"Turn raw channel data into actionable marketing intelligence.","Aggregate performance across ads, email, social, and web; Identify winning creatives, audiences, and channels; Detect anomalies and spend inefficiencies; Recommend reallocations and tests; Build digestible reports for stakeholders.","Ad Performance Analyzer; Campaign Performance Reporter; Marketing Dashboard Generator; Backlink Outreach Automation; Competitor Campaign Analyzer"

Customer Success,AI Onboarding Orchestrator,"Coordinate new customer onboarding journeys end-to-end.","Create tailored onboarding playbooks by segment; Generate task lists for internal and customer teams; Monitor product adoption milestones; Trigger communications and training content; Surface risks and delays early.","Onboarding Playbook Builder; Adoption Workflow Builder; Training Content Recommender; Customer Journey Mapper; Customer Win Detector"
Customer Success,AI Health & Churn Analyst,"Continuously score account health and predict churn/expansion.","Aggregate product usage, support, billing, and engagement data; Maintain dynamic health scores; Predict churn and expansion probability; Suggest prioritized playbooks per risk profile; Generate CSM and leadership health digests.","Churn Predictor; Account Health Scorer; Renewal Probability Forecaster; At-Risk Account Reporter; Adoption Report Generator"
